company,Name ,Date,Review,Resolution against customer complaint,Source
vogo,C DEEPKIRAN,17-Mar-20,"It's been a great 1 year using vogo . There were some really great experiences and some really bad ones too . So the two things which makes vogo far better to use than other services are : 1) Good Offers 2) Minimal charges on Pause Rides. The downside is the maintainence of the scooters in vogo zones . I see everyday that many scooters just lie there in vogo points and are not repaired for usage . Along with that , I have faced issues while driving because odometer is not readable .","Hey Deepkiran, We always try to make sure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We will go ahead and reexamine the bike condition henceforth. Looking forward to serving you again. Regards, Team VOGO.",Google Play Store
vogo,Yash Sharma,13-Mar-20,It used to be very nice. Now all of the stations are in worst condition. No one is present at the station so you have to trial and error with every scooter Some have no petrol Some makes noise Some have tyres deflated Some have their brakes loose. I am fed up with them,"Hi Yash! We always ensure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We will ensure to reexamine the bike condition henceforth. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
vogo,Charvi Jain,20-Mar-20,"In KYC, its not accepting my driving licence ... I have made all attempts for picture clarity and whatever is mentioned in the app... I guess since my license is newly made.. They do not support the latest format of the license... Please look into this.","Hello Charvi, Sorry for the inconvenience. We need to look at this at priority. For the KYC issue, could you please mail us your Registered mobile no. and your issue at help@vogo.in, so that we can get to the bottom of this at the earliest. Looking forward to serving you soon. Best, Team VOGO.",Google Play Store
vogo,Qadir Soofi,20-Mar-20,Worse app ever. Customer care doesnt connect nor does the scanner on the scooter works but really works when it comes to deduct money.Has deducted my 200 but the booking wasn't made and the money is not reflecting in the balance too.,"Dear Qadir, Really sorry for the inconvenience caused. We urge you to please share the registered contact details at help@vogo.in, so that we can get this checked with our team. Looking forward to serving you better. Best, Team VOGO.",Google Play Store
vogo,mridul ahmed,16-Mar-20,Don't use this app guys..... Payments is not secured..... I had payed two times deposit money ₹200 each.... And again app shows to deposit another 200 to book a scooter..... No contact with service provider..... App is very slow and not easy to run..... Stay safe,"Hey Mridul, Sorry for the unpleasant experience. We urge you to share your details in our App. under the ""Help"" section, so that we can investigate further, you can also drop an email to us at help@vogo.in. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,sajid momin,10-Mar-20,Comparing to bounce vogo is cheaper but the problem is you can use the service for only once because they have a lots of issues in vogo app if in case you want in emergency you cannot use the service same thing happened with me yesterday I have paid the advance 200/- + I paid 136.10/- two times but still it says due I cannot book the vehical and I even informed the btm manager in vogo poin of parking but he is very careless not helping I even called help desk they pick lison and ddisconect 😔😡,"Hey Sajid, Really sorry to hear that. We will need to look into this on priority. Could you please drop a mail to us at help@vogo.in, so that we can get to the bottom of this at the earliest. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,Madhusudhan Patil,9-Mar-20,Worst app. Takes indefinite time to open. After that shows no internet connection. Re installed but couldn't not get OTP. Worst experience ever. Bakwaas....,"Hi Madhusudhan, Extremely sorry for the incontinence caused to you. We have resolved the issue and the app. is working fine now, please refresh the app and have a check. For more suggestions, please feel free to drop us an email at help@vogo.in, we will be glad to hear from you. Looking forward to serving you soon. Best, Team VOGO.",Google Play Store
vogo,GrayMATter,9-Mar-20,"Horribly maintained bikes, and stations. The app is so damn slow. And all the bikes available at the stations are dirty, broken down, punctured n the like.. some stations don't even have attendants. Great going Vogo.. keep doing this to lose most of ur customers","Hi there! We always ensure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We are keen to know more about it, in order to have it fixed, please send us an email at help@vogo.in. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
vogo,manoj reddy,17-Mar-20,Need more faster app experience Better shift from ation mode to stop anywhere mode. Replace bad condition scooters So far I have done nearly 20rides I'm happy with lot of discounts and cashbacks Thank u vogo,"Hey Manoj, We are constantly improving our product and the user experience associated with our app. We can't commit to anything at the moment we will certainly take this up as feedback. We sure do want to earn your 5-star rating, in case of any suggestions, please drop an email at help@vogo.in Best, Team VOGO.",Google Play Store
vogo,bhushan pakhare,16-Mar-20,"No instructions for first time user, no estimated fare, only limited zones, need to maintain some amount in wallet.. Bounce overcomes all this","Hey Bhushan, Sorry to know about the unpleasant experience. We try to be as communicative as possible vehicle availability and also for the tentative charges of the ride. Please drop an email on help@vogo.in so we can have a check on this. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO",Google Play Store
vogo,Vispal Junior,9-Mar-20,The new rental service sucks. Bad support from the customer . The app takes minutes for lock and unlock. Not defined process for renting vehicles. Issues are too many,"Hey Vispal, Sorry to hear about the unpleasant experience. We are really keen to know what went wrong with your experience so that we can fix whatever went wrong. Could you please drop in an email to help@vogo.in with your details, so that we can investigate further. We'll be grateful for your feedback. Best, Team VOGO.",Google Play Store
vogo,Sourav Dash,4-Mar-20,"This was used to be my regular ride partner. But now a days it's getting so irritating... there's a station in a walkable distance from my apartment, now a days there are so many vehicles standing but none of them was ready for service. I have been trying since a lot of times to get one bike but non of them is working..if you don't wanna give service then why do you still showing that station..no other near station also work.. it's really irritating now..do something soon","Hey Sourav, We always ensure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We are keen to know more about it, in order to have it fixed, please send us an email at help@vogo.in. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
vogo,Hamraz kp,11-Mar-20,"Worst Experience This was good at begining Just now I've deposited RS 200 in my Pay Later Account through Paytm, but i can't activate my Deposit account and can't book a ride. When i tried to contact customer support they are not replying back . My friend also got the same problem 3 weeks before, he still didn't get his money back. Please Resolve this issues as fast as you can, like right now, It'll be good, thank you 🙏","Dear Hamraz, Really sorry for the inconvenience caused. We urge you to please share the registered contact details at help@vogo.in, so that we can get this checked with our Tech team. Looking forward to serving you better. Best, Team VOGO.",Google Play Store
vogo,ankesh singh,9-Mar-20,Ride not taken even though it get automatically started and customer support does not respond . Please never use it.,"Hey Ankesh, We are extremely sorry to disappoint you. We will need to look at this at priority. Could you please share your booking details at help@vogo.in, so that we can verify and make your experience satisfactory. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,prateek sabat,4-Mar-20,"Previously app was good light weight,but now they are making the app heavier and heavier due to which app keep on crashing. Sometimes while booking,vehicle will be booked in the app,but your vehicle ignition will not start and you will not able to cancel ride.you need to call customer care .......... LONG PROCESS waste of time..😢","Hey Prateek, Sorry to hear that. We request you to go to VOGO App. in phone settings and click on force stop and try again, if the issue persists, please share the snapshot and the screen record of the error at help@vogo.in. so that we can resolve this at the earliest. Looking forward to serving you soon. Best, Team VOGO.",Google Play Store
vogo,Biswajit Mohanty,30-Mar-20,"App is okay, but many times its a little unresponsive to unlock the scooty.","Hey Biswajit, Really sorry for the trouble. We request you to go to VOGO App. in phone settings and click on force stop - Storage (clear cache) - and try again, if the issue persists, please share the screen record of the error at help@vogo.in. so that we can resolve this asap. Looking forward to serving you soon. Best, Team VOGO.",Google Play Store
vogo,Jinkal Pancholi,28-Feb-20,"The only problem I faced that all the scooters are Bluetooth connected and nowadays there is no staff on vogo point , so whenever I have to book a ride , always first I have to book the ride then I am able to check for the petrol availability in scooter , u guys should add a feature in your app that shows petrol level for each of the scooter.","Hey Jinkal, Apologies for the inconvenience. We will work on adding the feature to check the vehicle's fuel level in our app., which may take some time. We will certainly take this up as a feature requirement for our product team. Please continue your support and keep riding with us. Best, Team VOGO.",Google Play Store
vogo,Sai Kumar,5-Feb-20,"The sevice is awesome. It is easy to book abike. But the maintenance is quite not good. Bikes are covered with full of dust, sometimes mud too. Please maintain the bike condition(free from breakdown) & clean it properly.. Make sure that it is free from dust so that the user will get good opinion on your sevice. Please don't increase the prices on weekends & also lower prices of ride fare. So, that everyone can use it happily.","Hey Sai, We always ensure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We will ensure to reexamine the bike condition henceforth. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
vogo,Farhan Somani,12-Mar-20,"At first, vogo was one of the best bike rental services. Had used it many times. But now, its turning from best to the worst. Starting from the dirty, non-functional bikes to the poor condition of the functioning bikes, it has become a source of irritation and frustration for the customers. Just because of this, I would have missed my train recently but thanks to other options, they were available in time. Better improve your service","Hey Farhan, We are extremely sorry for the inconvenience caused. We try to provide the best quality vehicles to our customers. However, we will re-examine, which may take some time. Kindly extend your support and share your details at help@vogo.in, so that we can serve you better. Best, Team VOGO.",Google Play Store
vogo,Amar Thejas Mathew,17-Mar-20,"Yeah it's a startup, and i like the way it is, the only problems are, unavailability of good bikes, and most bikes don't get started only. Giving 5 stars because, I'm that person who loves innovative ideas.","Hi Amar! We always ensure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We will ensure to reexamine the bike condition henceforth. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
vogo,Dhanumjaya D,22-Feb-20,"Rental service can be done far better. Always hard to find the vogo stations to get a bike and drop station is another way of challenge for us. Many of the bikes are in no condition, even available bikes do have a little issues and none of the bike contains helmets. Major expectation: Any where drop and pickup for bikes.","Hey Dhanumjaya, Please accept our sincere apologies for the inconvenience. We are constantly working on providing the best to our valuable customers. Although we can't commit to anything at the moment we will certainly pass on the feedback to our operations team. Looking forward to serving you again. Best, Team VOGO.",Google Play Store
vogo,Siddhant Jaiswal,4-Mar-20,"The app was fine before the update. Now there is no way to know how many Scooters are available at the nearest vogo point, thus leading users to walk to the zone only to find no Scooters are available. Bring back the count of Scooters","Hey Siddhant, We are really sorry to know that. We will need to look into this on priority. Could you please share a snapshot or the screen recorder of the error at help@vogo.in. so that we can get to the bottom of this at the earliest. Regards, Team VOGO.",Google Play Store
vogo,sambasiva rao polisetty,9-Mar-20,Due to server issue i am not able to drop the bike. Please increase server range,"Hi Sambasiva, Sorry for the trouble caused, this is certainly not the kind of experience we want you to have. We'll need to look into the end ride issue, please drop an email to us at help@vogo, we'll have it sorted at the earliest. Kindly consider giving us another chance to serve you. Best, Team VOGO.",Google Play Store
vogo,Aman Jain,9-Mar-20,Very bad app. Many a times doesn't even start.,"Hi Aman, Sorry for the hassle caused to you. We understand your concern, and we are constantly improving our product and the user experience associated with our app. Please drop us an email with your details at help@vogo.in, we are here to help you. Best, Team VOGO.",Google Play Store
vogo,Ankit kumar Singh,7-Mar-20,"Bad service as i want to change my phone number, but not at all responding to emails and other contacts. After this they responded quickly and helped me Thanks.","Hi Ankit, Thanks for your valuable feedback, we sure want to earn 5 stars from you, hence, in case of any suggestions, please drop an email at help@vogo.in and let us know. Best, Team VOGO.",Google Play Store
vogo,amarnath kalamalla,8-Mar-20,I paid inr 200 towards Activate other payment option through gpay however the deducted amount is not showing up in the account and there is no proper contact for customer care to complain this situation and i tried all the ways provided in the app. Hope my hard earned 200 rupees will be useful to me and i am open to receive any help.please,"Hi Amarnath, Extremely sorry for the unpleasant experience. Please find our customer care no. under the ""Help"" section in our App., which is 080-68221100, so that we can take your issue forward and address it at the earliest. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,Mahendra D,20-Feb-20,"Always throw an error that my QR is not working where as at the same time when I scan some other scooter which is not available it just works fine and display that the scooter is not available. Then how come for the available scooter it say QR is not working? Even after entering the scooter number manually, it throws the same error that QR scanner is not working.","Hi Mahendra, Certainly not the kind of experience we want you to have. We urge you to please share the screen record of the error at help@vogo.in, so that we can get this checked with our Tech team. We are always here to help you. Regards, Team VOGO.",Google Play Store
vogo,Apurv Singh,2-Mar-20,"Too many login attempts"". Checked and unchecked the referral code. Started saying too many login attempts. Switching to Bounce. First time login experience was horrible. Don't really think the rest of the app will be any better going by this.","Hey Apurv, Really sorry for the trouble. We request you to go to VOGO App. in phone settings and click on force stop - Storage (clear cache) - and try again, if the issue persists, please share the screen record of the error at help@vogo.in. so that we can resolve this asap. Looking forward to serving you soon. Best, Team VOGO.",Google Play Store
vogo,Nadeem Khan,9-Mar-20,"Screen Stuck on First Page after updating, It's slways 5 star but plz fix this app issue.","Hey Nadeem, We are sorry to hear this. Kindly reinstall the latest version of our app. and try again, if the issue persists, please call us on our helpline no. 080-68221100, we will be happy to assist you. Best, Team VOGO.",Google Play Store
vogo,Arindam Ganguly,10-Mar-20,"They are getting worst day be day. No helmet in bikes, no staff in the stations, low petrol in the scooty, poor condition. The app is also very slow. No helpline numbers.","Hi Arindam, We're keen to know what went wrong with your experience so that we can fix whatever went wrong. Could you please drop in an email to help@vogo.in with your details or call us on 080-68221100, so that we can investigate further. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
vogo,Nirbachan Pattanaik,4-Feb-20,"VOGO shouldn't have started the monthly rental plan. I'll give you the reasons: I booked a vehicle for 30 days. On 1st Feb, I got a vehicle. It worked fine until Sunday when it broke. I raised a breakdown request. I was asked to collect a replacement vehicle (after I called and followed up). I had to wait from 5 to 7:30 and still got a regular vehicle. I've attempted to reach the customer care for 8 times, if not more. I've been promised a call back thrice. Didn't get a single one.","Hi Nirbachan, It's really unfortunate that you had a bad experience with us, we are keen to know what went wrong, as we wish to make your experience satisfactory. Please share your concerns at help@vogo.in. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,Shubham Sinha,17-Feb-20,"very poor service,first they hiked their price and bow showing false data in app, showing the vehicle number whichever is available in t he statiom and seeing that I go to station to pick the vehicle but those vehicles are not even present there happened to me more than 10 times that is why I am writing this review. POOR SERVICE,how will you compensate for this???","Hi Shubham, We are extremely sorry to disappoint you. We will need to look at this at priority. Could you please share your booking details at help@vogo.in, so that we can verify and make your experience satisfactory. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,Samuel K,1-Mar-20,"Not bad, they aren't improving the feature of letting the rider know how many usable bikes are available at a zone. Going to the zone and scanning the QR code but bike being not usable is just a waste of time. Lots of time.","Hi Samuel, Sorry for the inconvenience caused. We try to provide the best quality vehicles to our customers for an easy and comfortable ride. However, we will re-examine the vehicle condition henceforth. Kindly write to us at help@vogo.in or call us at 080-68221100, so that we can investigate further and get back to you. Best, Team VOGO",Google Play Store
vogo,Raghavendra B K,15-Mar-20,"Charges are affordable now. No stations near indiranagar metro. Most of the bike condition are very bad. Low fuel, unable to start, punctured etc. Please improve the service.","Hi Raghavendra, We always ensure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We are keen to know more about it, in order to have it fixed, please send us an email at help@vogo.in. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
vogo,Shubham Lohiya,11-Feb-20,"Don't get the long term rental. They haven't built that feature in the app properly. I paid 1750 rs for an activa for 15 days, which stopped starting at 11.30 at night the same day (button start). I had to take an Uber home. The next morning I have to take an Uber to work again, while I have paid for this junk for 15 days and refueled it for 200 rs, also my personal belongings are in the vehicle's storage compartment. Very bad service. Regret switching from drivezy to vogo.","Hey Shubham, Please accept our sincere apologies for the inconvenience caused. We urge you to please share the related details at help@vogo.in or in our App. under the ""Help"" section, so that we can verify the same and assist you at the earliest. Looking forward to serving you better. Best, Team VOGO.",Google Play Store
vogo,Yogesh Seemakurthi,7-Feb-20,It's a bulky app which takes hell lot of time to load and any request raised will be closed automatically without any comments or resolution. The bike service is good though.,"Hey Yogesh, Sorry for the inconvenience caused. We understand your concern, We are constantly improving our product and the user experience associated with our app. Although we can't commit on anything at the moment we will certainly take this up as a feature requirement and pass on the feedback to our product team. Best, Team VOGO.",Google Play Store
vogo,basanth rangadhol,4-Mar-20,"No reimbursement for fuel refilled. I have lost my money for three trips. They do not even check their trip status, not they keep the vehicles fueled enough I have done that, but they said some policy changed, and refunded amount only till Rs.100/- I lost my money :( Also, if any policy changes, you people do not inform customers, which is very bad and sad :(","Hey Basanth, Please accept our sincere apologies for the inconvenience caused. We urge you to please share the related details at help@vogo.in so that we can verify the same and assist you at the earliest. Looking forward to serving you better. Best, Team VOGO.",Google Play Store
vogo,palla suraj,2-Mar-20,"After new update we couldn't see how many bikes available at the center, once we visit it showing no bikes available and even before it used to direct me to center once I click but not now","Hi Suraj, Sorry for the hassle caused to you. We understand your concern, and we are constantly improving our product and the user experience associated with our app. Please drop us an email with your details at help@vogo.in, we are here to help you. Best, Team VOGO.",Google Play Store
vogo,Vaibhav Sattur,26-Feb-20,Cant get access to wallet or deposited amount in the app if there is no vogo station available nearby...... cant even take our own money back from the wallet or deposit available in the app ...pls make the app available to use even without the stations nearby.,"Dear Vaibhav, Really sorry for the inconvenience caused. We urge you to please share the registered contact details at help@vogo.in, so that we can get this checked with our Tech team. Looking forward to serving you better. Best, Team VOGO.",Google Play Store
vogo,Keerthi Bhat,16-Mar-20,After completing ride also it is showing on notification area as riding time,"Hey Keerthi, We are really sorry to know that. We will need to look into this on priority. Could you please share a snapshot or the screen recorder of the error at help@vogo.in. so that we can get to the bottom of this at the earliest. Regards, Team VOGO.",Google Play Store
vogo,shishir kumar,29-Feb-20,You can't search for nearby vogo zone. The app becomes useless if you are not within the nearest zone range. All I see is just the map.,"Hey Shishir, We are sorry to know that. We will need to look into this on priority. Could you please share a snapshot or the screen recorder of the error at help@vogo.in. so that we can get to the bottom of this at the earliest. Regards, Team VOGO.",Google Play Store
vogo,Shubham Das,9-Mar-20,Unable to open the app after the recent update.,"Hi Shubham, Extremely sorry for the hassle caused to you. We have resolved the issue and the app. is working fine now, please refresh the app and have a check. For more suggestions, please feel free to drop us an email at help@vogo.in, we will be glad to hear from you. Looking forward to serving you soon. Best, Team VOGO.",Google Play Store
vogo,suresh podili,16-Mar-20,"Hi frnds this app very worst ,it was showing some bikes only and even those some bikes also showing so far to us ,not showing all locations , customer support also not available on time","Hi Suresh, We understand and are constantly improving our product and the user experience associated with our app and services. Although we can't commit to anything at the moment we will certainly work on it to ensure that your experience is satisfactory. Looking forward to serving you again. Best, Team VOGO.",Google Play Store
vogo,Balaji A S G,1-Mar-20,Useless app.even 1 star is a waste Very tedious process.Bounce is the best service i have ever used Asks for min balance even for a single ride. App does not recognise scooters properly. No helmet in any bike,"Hey Balaji, We are extremely sorry to disappoint you. We will need to look at this at priority. Could you please share your booking details at help@vogo.in or call us on 080-68221100, so that we can verify and make your experience satisfactory. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,NIKHIL TK,2-Mar-20,"App is very slow, and most of the bikes and stations condition is very bad/pathetic. App is asking to upload a pic to report breakdown and started hanging 😂😂😂","Hi Nikhil, Sorry for the hassle caused to you. We understand your concern, and we are constantly improving our product and the user experience associated with our app. Please drop us an email with your details at help@vogo.in, we are here to help you. Best, Team VOGO.",Google Play Store
vogo,Tulasi H,19-Mar-20,"Experiencing difficulty while paying I paid but still shows payment not received, last time i paid 4 times i requested for refund not yet git refund and now also i paid still it is showing to pay again","Hey Tulasi, We are extremely sorry to disappoint you. We will need to look at this at priority. Could you please share your booking details at help@vogo.in, so that we can verify and make your experience satisfactory. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,Satyam Pandita,2-Mar-20,Linked paytm account and it shows 1500 balance but still not able to make a deposit with it. Tried the second time always one or the other issue. Worst,"Hey Satyam, Sorry to hear that. We will need to look into this on priority, We urge you to call us on 080-68221100 or share the screenshot and screen record of the error at help@vogo.in, so that we can address this and resolve it at the earliest. Looking forward to serving you better. Best, Team VOGO.",Google Play Store
vogo,SINGIREDDY SHIVA KESHAV,29-Feb-20,App doesn't work if there is no vogo points near by you. At least menu must be shown to see the transaction details. Please keep an update.,"Hey Shiva, Sorry for the inconvenience caused. We understand your concern, We are constantly improving our product and the user experience associated with our app. Although we can't commit to anything at the moment we will certainly take this up as a feature requirement and pass on the feedback to our product team. Best, Team VOGO.",Google Play Store
vogo,Rajat Chaurasiya,30-Jan-20,Please don't book if you want to use its like use and throw ok till your coupes is working after they will charge you and they will not provide you any coupon 1. Things is that they are charging extra than other like bounce is good for 1k they are charging less but they are charging the extra than bounce 2. If you coupon limit is exceed they will not tell at all f***k off,"Hi Rajat Apologies for the hassle caused. We have an ""Estimate Fare"" section on our app. to find a tentative price of a VOGO ride and the Tariff applicable under """"i"""" icon. Kindly write to us at help@vogo.in if you'd like to provide suggestion or feedback, we'll be happy to hear from you. Looking forward to serving you better. Best, Team VOGO.",Google Play Store
vogo,Yashwant Pai,6-Feb-20,What the f*** of an app.. 'Something went wrong' at each and every step! Something is always wrong with it,"Hey Yashwant, We are really sorry to know that. We will need to look into this on priority. Could you please share a snapshot or the screen recorder of the error at help@vogo.in. so that we can get to the bottom of this at the earliest. Regards, Team VOGO.",Google Play Store
vogo,vinay kss,21-Feb-20,Don't know what's the problem with interface . When I go a little far from vogo zone after ending ride app stops working even unable check details of my previous rides.,"Hi Vinay, Sorry for the hassle caused to you. We understand your concern, and we are constantly improving our product and the user experience associated with our app. Please drop us an email with your details at help@vogo.in, we are here to help you. Best, Team VOGO.",Google Play Store
vogo,sandeep jagiri,5-Mar-20,Very helpfull when there is no bike. Or any other transport system.,"Hello Sandeep, We are really glad to hear this. Thank you for appreciating our services. We look forward to continue serving you better and making your everyday travels simpler! Best, Team VOGO.",Google Play Store
vogo,s s,5-Mar-20,"Best app, just have review of bounce and vogo at social sites. Bounce its a really cheap and cheat site , vogo is best still they need to improve the quantity and availability . Best luck","Hey there, Thank you for the review and your appreciation means a lot to us. Please continue to spread the word. Meanwhile, if there are any suggestions please drop a mail at help@vogo.in, we will be happy to hear from you. Looking forward to serving you again! Best, Team VOGO.",Google Play Store
vogo,Saurav Maity,27-Jan-20,The app is good but the prices aren't. Too high to bear it. Better to avoid vogo. Even petrol isn't being filled now-a-days. Bikes are poorly maintained. Use it in dire needs.,"Hey Saurav, We try our best to make your experience better, hence, the price changes are the impact of the market and due to improvement in our product and services. You also get the discount option on applying the coupon code that you receive on your registered no. time to time. Please continue your support and riding with us. Best, Team VOGO.",Google Play Store
vogo,Mukesh Agrawal,7-Mar-20,Once i open the app it shows everytime that there no driver available in the city.so please resolve this problem,"Hey Mukesh, Really sorry for the trouble. We request you to go to VOGO App, and please share the screen record of the error at help@vogo.in, so that we can resolve this asap. Looking forward to serving you soon. Best, Team VOGO.",Google Play Store
vogo,Sebastian S,13-Mar-20,"Worst experience for first time user. After making a payment for payment activate in my account, money got deducted but the amount didn't added. Got message from Bank saying Your A/c XX8032 is debited with Rs. 200.00 on 13-03-2020 thru UPI to vogo.razor. Tried reaching customer care but no number that I can speak with. Very bad.","Hey Sebastian, Really sorry to hear that. We will need to look into this on priority. We urge you to call us on 080-68221100 or share the screenshot of this at help@vogo.in, so that we can address this and resolve it at the earliest. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
